Label,is_non_descriptive_label
notebook-diff,
notebook-dnd,
notebook-execution,
notebook-find,
notebook-folding,
notebook-format,
notebook-globaltoolbar,
notebook-ipynb,
notebook-kernel-picker,
notebook-language,
notebook-layout,
notebook-liveshare,
notebook-markdown,
notebook-output,
notebook-perf,
notebook-remote,
notebook-serialization,
notebook-statusbar,
notebook-sticky-scroll,
notebook-toc-outline,
notebook-undo-redo,
notebook-variables,
notebook-workbench-integration,
notebook-workflow,
npm,
on-hold,True
on-release-notes,True
on-testplan,True
open-editors,
opener,
outline,
output,
packaging,
panel-chat,
papercut :drop_of_blood:,
perf,
perf-bloat,
perf-profile,
perf-startup,
performance,
php,
plan-item,
plg,
polish,
portable-mode,
postponed-during-endgame,
product-feedback,
proxy,
python,
question-discussion,
quick-chat,
quick-open,
quick-pick,
references-viewlet,
regression,
release-notes,True
remote,
remote-connection,
remote-desktop,
remote-explorer,
remote-tunnel,
rename,
repro-steps-needed,True
rpm,
ruby,
runCommands,
rust,
safari,
sandbox,
sash-widget,
scm,
screencast-mode,
search,
search-api,
search-editor,
search-replace,
secret-storage,
security,
semantic-tokens,
server,
service-outage,
settings-editor,
settings-search,
settings-sync,
settings-sync-server,
shared-process,
shell-env,
simple-file-dialog,
smart-select,
smoke-test-failure,
smoketest-ai-triage,
snap,
snippets,
spam,
splitview-widget,
ssh,
stale,
suggest,
system-context-menu,
table-widget,
tasks,
team-low-hanging,True
telemetry,
terminal,
terminal-accessibility,
terminal-conpty,
terminal-editors,
terminal-env-collection,
terminal-external,
terminal-find,
terminal-inline-chat,
terminal-input,
terminal-layout,
terminal-ligatures,
terminal-links,
terminal-local-echo,
terminal-parser,
terminal-persistence,
terminal-process,
terminal-profiles,
terminal-quick-fix,True
terminal-rendering,
terminal-shell-bash,
terminal-shell-cmd,
terminal-shell-fish,
terminal-shell-git-bash,
terminal-shell-integration,
terminal-shell-pwsh,
terminal-shell-sh,
terminal-shell-zsh,
terminal-sticky-scroll,
terminal-suggest,
terminal-tabs,
test-coverage,
testing,
testplan-item,
themes,
timeline,
timeline-git,
timeline-local-history,
titlebar,
tokenization,
touch/pointer,
trackpad/scroll,
translation-required-arabic,True
translation-required-chinese-simplified,True
translation-required-chinese-traditional,True
translation-required-croatian,True
translation-required-czech,True
translation-required-dutch,True
translation-required-filipino,True
translation-required-french,True
translation-required-german,True
translation-required-hebrew,True
translation-required-hungarian,True
translation-required-indonesian,True
translation-required-italian,True
translation-required-japanese,True
translation-required-korean,True
translation-required-persian,True
translation-required-polish,True
translation-required-portuguese-brazil,True
translation-required-romanian,True
translation-required-russian,True
translation-required-spanish,True
translation-required-swedish,True
translation-required-thai,True
translation-required-tongan,True
translation-required-turkish,True
translation-required-ukrainian,True
translation-required-undefined,True
translation-required-vietnamese,True
translation-required-welsh,True
translation-required-yucatec-maya,True
tree-sitter,
tree-sitter-autoindent-candidate,
tree-sticky-scroll,
tree-views,
tree-widget,
triage-needed,True
typehierarchy,
typescript,
unc,
under-discussion,True
undo-redo,True
unicode-highlight,
unit-test-failure,
unreleased,
upstream,
upstream-issue-fixed,True
upstream-issue-linked,True
upstream-issue-pending,True
uri,
user-profiles,
ux,
variable-resolving,
verification-found,True
verification-needed,True
verification-steps-needed,True
verified,True
VIM,
virtual-documents,
virtual-machine,
virtual-workspaces,
visualbasic,
vscode-automation-mcp,
vscode-build,
vscode-website,
vscode.dev,
wayland,
web,
webview,
webview-views,
windows,
windows 11,True
windows 7,True
winget,
wont-fix,True
workbench-actions,
workbench-auxsidebar,
workbench-auxwindow,
workbench-banner,
workbench-cli,
workbench-copilot,
workbench-custom-labels,
workbench-diagnostics,
workbench-dim-unfocused,
workbench-dnd,
workbench-editor-grid,
workbench-editor-groups,
workbench-editor-resolver,
workbench-editors,
workbench-electron,
workbench-fonts,
workbench-history,
workbench-hot-exit,
workbench-hover,
workbench-launch,
workbench-link,
workbench-multiroot,
workbench-notifications,
workbench-os-integration,
workbench-rapid-render,
workbench-run-as-admin,
workbench-state,
workbench-status,
workbench-tabs,
workbench-touchbar,
workbench-untitled-editors,
workbench-views,
workbench-voice,
workbench-welcome,
workbench-window,
workbench-workspace,
workbench-zen,
workspace-edit,
workspace-symbols,
workspace-trust,
WSL,
zoom,
