representative_label_by_embedding,count,representative_label_by_count,count,total_count,cluster
autoconfiguration,11,auto configuration,100,114,"['auto configuration', 'autoconfiguration', 'autoconfigure']"
markdown,111,markdown,111,111,['markdown']
diagnostics,117,diagnostics,117,149,"['diagnostics', 'diagnostic', 'a diagnostics']"
struct,49,struct,49,52,"['struct', 'structs']"
compiler behavior,32,compiler behavior,32,36,"['compiler behavior', 'compile time behavior', 'compiler interaction']"
aten,56,aten,56,56,['aten']
x pack,88,x pack,88,88,['x pack']
settings,96,settings,96,98,"['settings', 'setting']"
environment,82,environment,82,82,['environment']
command prompt,2,command line,79,114,"['command line', 'cmd', 'command prompt']"
template,112,template,112,117,"['template', 'templates']"
json,130,json,130,130,['json']
enum,74,enum,74,78,"['enum', 'enums']"
indexing,93,indexing,93,93,['indexing']
theme,45,theme,45,45,['theme']
sync,105,sync,105,105,['sync']
type: api change,2,api change,170,176,"['api change', 'type api change', 'topic: api change', 'type: api change']"
serialization,125,serialization,125,127,"['serialization', 'serialize']"
packaging,49,packaging,49,49,['packaging']
testfailure,30,testfailure,30,30,['testfailure']
neo4j,88,neo4j,88,88,['neo4j']
webflux,85,webflux,85,85,['webflux']
macos,99,macos,99,99,['macos']
type: refactoring,3,refactoring,174,226,"['refactoring', 'refactor', 'code refactoring', 'type: refactor', 'type: refactoring', 'type:refactoring', 'category:refactoring']"
linking,66,linking,66,66,['linking']
metadata,130,metadata,130,130,['metadata']
warnings,26,warning,119,147,"['warning', 'warnings', 'warning messages']"
analysis,106,analysis,106,106,['analysis']
const eval,90,const eval,90,90,['const eval']
tensor operations,40,tensor,180,298,"['tensor', 'tensor operations', 'tensor creation', 'tensor ops', 'tensor operation', 'tensors', 'tensor construction', 'tensor manipulation', 'tensor computation', 'tensor issue', 'tensor conversion']"
executor,53,executor,53,53,['executor']
validation,155,validation,155,155,['validation']
input,87,input,87,90,"['input', 'inputs']"
linux,113,linux,113,113,['linux']
formatting,113,formatting,113,145,"['formatting', 'format', 'format issue', 'text formatting', 'formatting issue']"
gc,78,gc,78,80,"['gc', 'gcs']"
doc,80,doc,80,80,['doc']
macros,14,macro,75,91,"['macro', 'macros', 'macro related']"
gui,108,gui,108,108,['gui']
torch compile,47,torch.compile,71,126,"['torch compile', 'torch.compile', 'torchcompile', 'torch compiler']"
actuator,62,actuator,62,62,['actuator']
opcache,86,opcache,86,86,['opcache']
tikv,52,tikv,52,52,['tikv']
workbench,43,workbench,43,43,['workbench']
bugs,44,bugs,44,44,['bugs']
encoding,94,encoding,94,94,['encoding']
website,55,website,55,55,['website']
bootstrap,77,bootstrap,77,80,"['bootstrap', 't bootstrap']"
toolchain,57,toolchain,57,57,['toolchain']
fuzzing,61,fuzzing,61,73,"['fuzzing', 'fuzz testing']"
iterator,66,iterator,66,73,"['iterator', 'iterators']"
data race,78,data race,78,78,['data race']
notebook,53,notebook,53,67,"['notebook', 'notebooks']"
error handling,243,error handling,243,328,"['error handling', 'exception handling']"
domain: language features,5,language feature,242,419,"['language feature', 'language features', 'domain: language features', 'domain language features', 'domain/language features']"
flaky,44,flaky,44,44,['flaky']
release,68,release,68,68,['release']
cmake,52,cmake,52,52,['cmake']
nn,47,nn,47,47,['nn']
pip,69,pip,69,69,['pip']
vim9script,67,vim9script,67,67,['vim9script']
gpu,135,gpu,135,137,"['gpu', 'gpus']"
extension api,28,extension api,28,28,['extension api']
internal,30,internal,30,30,['internal']
scripting,59,scripting,59,59,['scripting']
threading,60,threading,60,60,['threading']
functional,30,functional,30,30,['functional']
zend engine,110,zend engine,110,110,['zend engine']
vim script,12,vimscript,86,101,"['vimscript', 'vim script', 'vim scripting']"
navigation,113,navigation,113,113,['navigation']
cmd/go,62,cmd/go,62,77,"['cmd/go', 'cmd/cgo', 'cmd/gomote', 'cmd go', 'go/cmd', 'go/cmd/go']"
linker issue,11,linker,86,122,"['linker', 'linker error', 'linker issue', 'linker problem']"
user experience,223,user experience,223,223,['user experience']
assertion error,83,assertion failure,151,256,"['assertionerror', 'assertion failure', 'assertion error']"
pytorch core,71,pytorch core,71,71,['pytorch core']
triton,79,triton,79,79,['triton']
export,83,export,83,86,"['export', 'exporter']"
hibernate,72,hibernate,72,72,['hibernate']
netty,83,netty,83,85,"['netty', 'netty4']"
framework upgrade,25,framework upgrade,25,25,['framework upgrade']
mockito,47,mockito,47,47,['mockito']
reflection,85,reflection,85,101,"['reflection', 'reflect']"
planner,36,planner,36,36,['planner']
tools,45,tools,45,45,['tools']
packagemanagement,2,package management,286,328,"['package manager', 'package management', 'packagemanagement']"
memory management,158,memory management,158,171,"['memory management', 'memorymanagement', 'memory optimization', 'c memory management']"
net/http2,2,http2,60,115,"['http2', 'net/http', 'net http', 'net/http2']"
type checker,8,type checking,79,140,"['typechecker', 'typechecking', 'type check', 'type checker', 'type checking']"
fsdp,55,fsdp,55,55,['fsdp']
storage,135,storage,135,135,['storage']
jackson,37,jackson,37,37,['jackson']
jms,56,jms,56,56,['jms']
uv cli,24,uv cli,24,24,['uv cli']
powershell,38,powershell,38,38,['powershell']
localization,40,localization,40,42,"['localization', 'localize']"
turbopack,66,turbopack,66,78,"['turbopack', 'turbo', 'turbo pack']"
abi,66,abi,66,69,"['abi', 'a abi']"
clippy,51,clippy,51,51,['clippy']
lint,113,lint,113,116,"['lint', 'lints']"
operator,29,operator,29,37,"['operator', 'operators']"
xpu,40,xpu,40,40,['xpu']
pytorch,619,pytorch,619,619,['pytorch']
junit,43,junit,43,43,['junit']
spring session,64,spring session,64,64,['spring session']
ldap,56,ldap,56,56,['ldap']
annotation,38,annotation,38,71,"['annotation', 'annotations', 'annotated text', 'java annotations', 'java annotation']"
aop,56,aop,56,56,['aop']
information schema,58,information schema,58,65,"['information schema', 'info schema']"
git,73,git,73,73,['git']
backend,73,backend,73,75,"['backend', 'backends']"
syscalls,16,syscall,50,66,"['syscall', 'syscalls']"
compiler internal,29,compiler internal,29,29,['compiler internal']
assertion,53,assertion,53,58,"['assertion', 'assertions']"
function,41,function,41,45,"['function', 'functions']"
quantization,57,quantization,57,57,['quantization']
partitioning,55,partitioning,55,61,"['partitioning', 'partition']"
mysql,59,mysql,59,59,['mysql']
rest,46,rest,46,46,['rest']
zend,33,zend,33,35,"['zend', 'zenmode']"
race condition,58,race condition,58,58,['race condition']
scrolling,73,scrolling,73,73,['scrolling']
html,68,html,68,68,['html']
go ssa,6,ssa,47,53,"['ssa', 'go ssa']"
linting,101,linting,101,101,['linting']
overflow,44,overflow,44,44,['overflow']
fs,35,fs,35,35,['fs']
http client,90,http client,90,90,['http client']
libraries,20,library,253,273,"['libraries', 'library']"
spring hateoas,42,spring hateoas,42,42,['spring hateoas']
infoschema,23,infoschema,23,23,['infoschema']
shell,39,shell,39,39,['shell']
coverage,46,coverage,46,46,['coverage']
c++,92,c++,92,92,['c++']
event handling,44,event handling,44,46,"['event handling', 'eventhandling']"
wasm,52,wasm,52,52,['wasm']
code style,22,code style,22,26,"['code style', 'coding style']"
asan,32,asan,32,32,['asan']
api design,79,api design,79,81,"['api design', 'domain: api design']"
type inference,76,type inference,76,76,['type inference']
unsafe operations,4,unsafe code,52,56,"['unsafe code', 'unsafe operations']"
compiler warning,27,compiler warning,27,33,"['compiler warning', 'compiler warnings', 'compiler message']"
inference,79,inference,79,79,['inference']
framework,328,framework,328,328,['framework']
classpath issue,3,classpath,37,43,"['classpath', 'classpath loading', 'classpath issue']"
webclient,31,webclient,31,31,['webclient']
aggregation,55,aggregation,55,68,"['aggregation', 'aggregations', 'aggregate']"
tidb server,17,tidb server,17,17,['tidb server']
ttl,39,ttl,39,39,['ttl']
ide,56,ide,56,58,"['ide', 'go ide']"
filter,40,filter,40,54,"['filter', 'filtering']"
runtime panic,16,runtime panic,16,16,['runtime panic']
breaking change,37,breaking change,37,37,['breaking change']
integer overflow,95,integer overflow,95,95,['integer overflow']
lifecycle,38,lifecycle,38,38,['lifecycle']
borrow checker,31,borrow checker,31,31,['borrow checker']
flaky test,137,flaky test,137,150,"['flaky test', 'test flaky', 'flaky tests']"
pytorch functionality,3,pytorch api,33,59,"['pytorch api', 'pytorch model', 'pytorch function', 'pytorch internal', 'pytorch functionality', 'pytorch feature request', 'pytorch feature', 'pytorch extensions']"
cpp,47,cpp,47,47,['cpp']
groovy,36,groovy,36,36,['groovy']
webmvc,19,webmvc,19,19,['webmvc']
keyboard,41,keyboard,41,41,['keyboard']
schema,25,schema,25,25,['schema']
timeout,76,timeout,76,76,['timeout']
ui bug,132,ui bug,132,245,"['ui bug', 'ui issue', 'ui issues', 'ui glitch', 'ui bugs']"
permissions,70,permissions,70,79,"['permissions', 'permission', 'permission issue', 'permission denied']"
npm support,2,npm,50,58,"['npm', 'npm package', 'npm integration', 'npm support']"
repl,44,repl,44,44,['repl']
filesystem,148,filesystem,148,243,"['filesystem', 'file system']"
go/types,31,go/types,31,43,"['go/types', 'go types']"
analyzer,20,analyzer,20,20,['analyzer']
net,77,net,77,77,['net']
rfc,20,rfc,20,20,['rfc']
test framework,27,test framework,27,27,['test framework']
language design,79,language design,79,79,['language design']
io,46,io,46,46,['io']
vite,45,vite,45,45,['vite']
mongodb,49,mongodb,49,49,['mongodb']
build tools,24,build tool,102,132,"['build tools', 'build tool', 'build tooling']"
mobile,63,mobile,63,63,['mobile']
build process,31,build process,31,31,['build process']
torchscript,41,torchscript,41,45,"['torchscript', 'torch script']"
scheduler,49,scheduler,49,49,['scheduler']
amp,36,amp,36,36,['amp']
svelte 5,19,svelte5,26,51,"['svelte 5', 'svelte5', 'svelte version 5', 'svelte version']"
library update,15,library upgrade,37,52,"['library update', 'library upgrade']"
virtual threads,38,virtual threads,38,41,"['virtual threads', 'virtual thread']"
buildpack,27,buildpack,27,47,"['buildpack', 'buildpacks', 'build pack']"
undertow,50,undertow,50,50,['undertow']
gradle plugin,36,gradle plugin,36,36,['gradle plugin']
xpack,43,xpack,43,45,"['xpack', 'xpack esql']"
dependency injection,88,dependency injection,88,88,['dependency injection']
decompiler,28,decompiler,28,28,['decompiler']
backup,42,backup,42,42,['backup']
javascript,547,javascript,547,558,"['javascript', 'js']"
experimental,18,experimental,18,18,['experimental']
script,22,script,22,24,"['script', 'scripts']"
client,43,client,43,43,['client']
gdb,44,gdb,44,44,['gdb']
go language,13,golang,68,104,"['language go', 'golang', 'go language', 'language/go', 'domain:go language', 'go programming language', 'golang go']"
match,18,match,18,18,['match']
array,30,array,30,42,"['array', 'arrays']"
roc m,3,rocm,43,64,"['rocm', 'roc', 'roc m']"
maps,4,mapping,26,36,"['mapping', 'maps', 'map']"
rpc,31,rpc,31,31,['rpc']
spring retry,35,spring retry,35,35,['spring retry']
amqp,30,amqp,30,30,['amqp']
spring test,18,spring test,18,20,"['spring test', 'spring boot testing']"
restore,28,restore,28,28,['restore']
file type,3,filetype,20,36,"['filetype', 'file type', 'filetype plugin', 'file format', 'file extension', 'filetype support']"
auth,35,auth,35,35,['auth']
copilot,37,copilot,37,37,['copilot']
clipboard,34,clipboard,34,34,['clipboard']
typeerror,23,typeerror,23,23,['typeerror']
styling,52,styling,52,52,['styling']
design,49,design,49,49,['design']
input handling,16,input handling,16,16,['input handling']
model,28,model,28,30,"['model', 'models']"
image,52,image,52,52,['image']
style,24,style,24,28,"['style', 'styles']"
lsp,35,lsp,35,35,['lsp']
profiler,17,profiler,17,17,['profiler']
cross compilation,69,cross compilation,69,72,"['cross compilation', 'cross compile']"
cleanup,57,cleanup,57,57,['cleanup']
binding,64,binding,64,66,"['binding', 'bindings']"
f compiler error,12,f compiler,14,30,"['f compiler', 'f compiler error', 'f compiler errors', 'f compiler internal']"
safety,30,safety,30,30,['safety']
backward,21,backward,21,21,['backward']
dynamic shape,30,dynamic shapes,33,63,"['dynamic shape', 'dynamic shapes']"
fx,28,fx,28,28,['fx']
data type issues,2,data type,37,75,"['data type', 'data types', 'datatype', 'data type issues', 'data type issue', 'data type mismatch', 'data type management']"
redis,30,redis,30,30,['redis']
xml,65,xml,65,65,['xml']
spring boot configuration,21,spring boot configuration,21,51,"['spring boot configuration', 'spring boot autoconfigure', 'spring boot test autoconfigure', 'spring cloud config', 'spring environment', 'spring boot auto configuration', 'spring configuration', 'spring config']"
properties,64,properties,64,73,"['properties', 'property']"
testcontainers,47,testcontainers,47,47,['testcontainers']
spring integration,118,spring integration,118,118,['spring integration']
query,52,query,52,52,['query']
decompilation,32,decompilation,32,32,['decompilation']
uv tool,28,uv tool,28,30,"['uv tool', 'tool uv']"
br,16,br,16,16,['br']
tiflash,29,tiflash,29,29,['tiflash']
netrw,38,netrw,38,38,['netrw']
hover,35,hover,35,35,['hover']
autocomplete,27,autocomplete,27,29,"['autocomplete', 'autocompletion']"
commenting,9,comments,32,57,"['comments', 'comment', 'commenting']"
automation,35,automation,35,35,['automation']
command,32,command,32,37,"['command', 'commands']"
api proposal,16,api proposal,16,32,"['api proposal', 'api suggestion']"
output,29,output,29,29,['output']
next.js api,2,nextjs,105,140,"['nextjs', 'next.js api', 'next api', 'next.js', 'next js']"
app router,37,app router,37,37,['app router']
tls,54,tls,54,54,['tls']
fmt,22,fmt,22,22,['fmt']
const expressions,3,const,25,61,"['const', 'const evaluation', 'const propagation', 'const expressions', 'const functions', 'const expression']"
behavior change,20,behavior change,20,22,"['behavior change', 'behavioral change']"
module,39,module,39,48,"['module', 'modules']"
monitoring,69,monitoring,69,69,['monitoring']
snapshot,31,snapshot,31,33,"['snapshot', 'snapshots']"
lock file,15,lockfile,29,47,"['lockfile', 'lock file', 'lock files']"
trait related,12,trait related,12,12,['trait related']
match pattern,5,pattern matching,76,93,"['pattern matching', 'match statement', 'match expression', 'pattern matcher', 'match pattern']"
f trait,3,f traits,13,18,"['f traits', 'f trait', 'f dyn trait']"
closures,16,closures,16,16,['closures']
compiler lint,12,compiler lint,12,12,['compiler lint']
undefined behavior,27,undefined behavior,27,27,['undefined behavior']
hydration,44,hydration,44,44,['hydration']
reactivity,50,reactivity,50,50,['reactivity']
graph,25,graph,25,25,['graph']
elasticsearch,357,elasticsearch,357,369,"['elasticsearch', 'elasticsearch sql', 'elasticsearch api', 'elasticsearch query', 'elastic search', 'elasticsearchql']"
postgresql,48,postgresql,48,64,"['postgresql', 'pgsql', 'postgres']"
exception,70,exception,70,73,"['exception', 'exceptions']"
aspectj,38,aspectj,38,38,['aspectj']
highlighting,48,highlighting,48,55,"['highlighting', 'highlight']"
date,28,date,28,30,"['date', 'dates']"
data consistency,19,data consistency,19,19,['data consistency']
console,40,console,40,40,['console']
preview,23,preview,23,23,['preview']
task,22,task,22,34,"['task', 'tasks']"
session,28,session,28,28,['session']
kernel,28,kernel,28,28,['kernel']
ssh,41,ssh,41,41,['ssh']
ssr,35,ssr,35,35,['ssr']
module resolution,34,module resolution,34,34,['module resolution']
math,181,math,181,191,"['math', 'mathematics']"
slice,11,slices,18,32,"['slices', 'slice', 'slicing']"
pprof,25,pprof,25,25,['pprof']
types,55,types,55,55,['types']
profiling,62,profiling,62,62,['profiling']
driver,45,driver,45,47,"['driver', 'drivers']"
go,167,go,167,167,['go']
test runner,19,test runner,19,19,['test runner']
miri,28,miri,28,28,['miri']
change detection,37,change detection,37,37,['change detection']
torchdynamo,19,torchdynamo,19,19,['torchdynamo']
pytorch dynamo,20,pytorch dynamo,20,20,['pytorch dynamo']
device,30,device,30,30,['device']
dtensor,29,dtensor,29,29,['dtensor']
azure,25,azure,25,25,['azure']
datasource,14,datasource,14,14,['datasource']
driver upgrade,11,driver upgrade,11,21,"['driver upgrade', 'driver update']"
spring boot web,7,spring web,37,48,"['spring web', 'spring boot web', 'spring boot starter web']"
autowiring,31,autowiring,31,31,['autowiring']
stats,23,statistics,50,73,"['stats', 'statistics']"
desktop,48,desktop,48,48,['desktop']
uv sync,12,uv sync,12,12,['uv sync']
undefinedbehaviorsanitizer,11,undefinedbehaviorsanitizer,11,11,['undefinedbehaviorsanitizer']
explorer,21,explorer,21,21,['explorer']
display,29,display,29,29,['display']
icon,18,icon,18,25,"['icon', 'icons']"
module system,29,module system,29,38,"['module system', 'module management']"
text,19,text,19,19,['text']
code cleanup,10,code cleanup,10,10,['code cleanup']
example,26,example,26,32,"['example', 'examples']"
worker,21,worker,21,21,['worker']
unstable,18,unstable,18,18,['unstable']
elf,27,elf,27,27,['elf']
hash,13,hash,13,13,['hash']
ast,44,ast,44,44,['ast']
reproducibility,23,reproducibility,23,23,['reproducibility']
string,23,string,23,35,"['string', 'strings']"
webgpu,29,webgpu,29,29,['webgpu']
import error,21,import issue,25,51,"['import error', 'import errors', 'import failure', 'import issue']"
compiletest,18,compiletest,18,20,"['compiletest', 'compile test']"
coroutines,33,coroutines,33,50,"['coroutines', 'a coroutines', 'coroutine']"
transformers,23,transformers,23,23,['transformers']
custom ops,29,custom ops,29,29,['custom ops']
complex numbers,45,complex numbers,45,45,['complex numbers']
python api,16,python api,16,16,['python api']
dtype,34,dtype,34,34,['dtype']
p2p,25,p2p,25,25,['p2p']
actions,22,actions,22,32,"['actions', 'action']"
templating,22,templating,22,22,['templating']
opentelemetry,38,opentelemetry,38,40,"['opentelemetry', 'open telemetry']"
graalvm,31,graalvm,31,31,['graalvm']
spring graphql,29,spring graphql,29,29,['spring graphql']
github actions,61,github actions,61,61,['github actions']
rest api,37,rest api,37,42,"['rest api', 'api request']"
jpa,31,jpa,31,31,['jpa']
bean,11,bean definition,36,64,"['bean definition', 'bean', 'beans']"
uvx,14,uvx,14,14,['uvx']
spl,25,spl,25,25,['spl']
proxying,4,proxy,41,47,"['proxy', 'proxying', 'proxies']"
key bindings,2,keybindings,19,38,"['keybindings', 'keybinding', 'key bindings', 'key binding']"
focus,38,focus,38,38,['focus']
update,31,update,31,31,['update']
usability,27,usability,27,27,['usability']
input method,11,input method,11,11,['input method']
diff,22,diff,22,22,['diff']
esm,23,esm,23,23,['esm']
next dev,26,next dev,26,26,['next dev']
fetch,21,fetch,21,21,['fetch']
dashboard,18,dashboard,18,18,['dashboard']
proposal,91,proposal,91,91,['proposal']
unicode,48,unicode,48,48,['unicode']
webdav,27,webdav,27,27,['webdav']
v8,21,v8,21,21,['v8']
node api,12,node api,12,12,['node api']
deps,9,deps,9,9,['deps']
svelte,179,svelte,179,179,['svelte']
async await,81,async await,81,81,['async await']
translation,35,translation,35,35,['translation']
i18n,43,i18n,43,43,['i18n']
typo,70,typo,70,70,['typo']
custom op,17,custom op,17,17,['custom op']
checkpoint,21,checkpoint,21,21,['checkpoint']
backport,141,backport,141,141,['backport']
plugin update,9,plugin update,9,18,"['plugin update', 'plugin upgrade']"
couchbase,28,couchbase,28,28,['couchbase']
bomr,9,bomr,9,9,['bomr']
shutdown,40,shutdown,40,40,['shutdown']
npe,18,npe,18,18,['npe']
spring kafka,45,spring kafka,45,45,['spring kafka']
